"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
68016,9/30/2025 0:00:00,22483,0,0,130944,27888,1,0,156401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,1050000,0,0,0,1250000,0,0,0,78913,0,0,0,78913,0,0,0,0,0,28074772,0,0,0,0,0,0,0,0,10/01/2023,26710,34347854,0,0,0,0,0,0,0,0,0,0,0,62837,0,0,0,0,0,0,0,0,0,0
68021,9/30/2025 0:00:00,22675,0,50582831,3288275,973304,1,0,5887801,0,0,0,0,0,0,0,0,0,0,0,0,11157883,4831214,36898299,55167,0,52942562,0,0,0,0,0,0,0,-5493726,0,3920724,0,0,74100,3994824,0,0,0,0,76700,815948160,0,0,0,0,0,0,0,0,04/01/2023,811643,906518247,0,0,0,0,0,0,0,0,0,0,0,10169011,0,0,0,0,0,0,0,0,0,0
68038,9/30/2025 0:00:00,3355,0,0,4075823,0,1,0,3526501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3495678,13981572,13720606,13677446,11576208,56451510,0,0,0,495000,0,0,0,495000,0,0,0,0,1600,579050677,0,0,0,0,0,0,0,0,01/01/2023,3039,625574582,0,0,0,0,0,0,0,0,0,0,0,4980015,0,0,0,0,0,0,0,0,0,0
68042,9/30/2025 0:00:00,22583,0,0,573150,0,1,0,289501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25107180,16160426,8846595,824626,0,50938827,0,0,0,47500,0,0,0,47500,0,0,0,0,0,105888614,0,0,0,0,0,0,0,0,10/01/2023,65863,117092587,0,0,0,0,0,0,0,0,0,0,0,269193,0,0,0,6548,600416,0,0,0,0,0
68044,9/30/2025 0:00:00,25770,0,0,6715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529997,0,0,0,0,0,0,0,0,,0,752067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68046,9/30/2025 0:00:00,24197,0,2626781,627962,23662,1,0,546174,0,0,0,0,0,0,0,0,0,0,0,0,17081593,11566585,14881597,9963309,2728997,56222081,0,0,0,0,0,0,0,-4009269,0,32252,0,0,0,32252,0,0,0,0,0,167561613,0,0,0,0,0,0,0,0,07/01/2023,92383,178254159,0,0,0,0,0,0,0,0,0,0,0,80007,0,0,0,0,0,0,0,0,0,0
68052,9/30/2025 0:00:00,21910,0,0,22490,0,1,0,20795,0,0,0,0,0,0,0,0,0,0,0,0,3473505,4244479,1014570,0,0,8732554,0,0,0,0,0,0,0,12554,0,7148,0,0,0,7148,0,0,0,0,0,23149357,0,0,0,0,0,0,0,0,10/01/2023,27293,25496108,0,0,0,0,0,0,0,0,0,0,0,157396,0,0,0,0,0,0,0,0,0,0
68053,9/30/2025 0:00:00,23081,0,153431060,12280564,2083379,1,0,19858912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59927981,150297270,18421085,0,0,228646336,0,0,0,9656609,0,0,-5097,9651512,0,0,0,0,9498,1352341641,0,0,0,0,0,0,0,0,01/01/2023,10099300,1499064500,0,0,0,0,0,0,0,0,0,0,0,5939224,0,0,0,0,0,0,0,0,0,0
68057,9/30/2025 0:00:00,24237,0,3238217,788200,706814,1,0,920122,0,0,0,0,0,0,0,0,0,0,0,0,133704,3177714,287283,11670505,0,15269206,0,0,0,0,0,0,0,-3064804,0,44103,0,0,0,44103,0,0,0,0,0,159434045,0,0,0,0,0,0,0,0,01/01/2023,137024,173358764,0,0,0,0,0,0,0,0,0,0,0,384034,0,0,0,0,0,0,0,0,0,0
68061,9/30/2025 0:00:00,22309,0,55166067,17264082,3096986,1,0,2406166,0,0,0,0,0,0,0,0,0,0,0,0,16931917,4717270,19600332,7045338,166388,48461245,0,0,0,0,0,0,0,-2248041,0,1275000,0,0,59000,1334000,0,0,0,0,59000,691447561,0,0,0,3,444815,444815,0,0,04/01/2023,913618,824877290,0,0,0,0,0,0,0,0,0,0,0,4489633,0,0,0,0,0,0,0,0,0,0
